Regional_Grouping,Region,Region_Code,Country,ISO3Code
UNICEF_NT,VAS_PRIORITY,,Afghanistan,AFG
UNICEF_NT,VAS_PRIORITY,,Angola,AGO
UNICEF_NT,VAS_PRIORITY,,Bangladesh,BGD
UNICEF_NT,VAS_PRIORITY,,Benin,BEN
UNICEF_NT,VAS_PRIORITY,,Bolivia (Plurinational State of),BOL
UNICEF_NT,VAS_PRIORITY,,Botswana,BWA
UNICEF_NT,VAS_PRIORITY,,Burkina Faso,BFA
UNICEF_NT,VAS_PRIORITY,,Burundi,BDI
UNICEF_NT,VAS_PRIORITY,,Cambodia,KHM
UNICEF_NT,VAS_PRIORITY,,Cameroon,CMR
UNICEF_NT,VAS_PRIORITY,,Central African Republic,CAF
UNICEF_NT,VAS_PRIORITY,,Chad,TCD
UNICEF_NT,VAS_PRIORITY,,Comoros,COM
UNICEF_NT,VAS_PRIORITY,,Congo,COG
UNICEF_NT,VAS_PRIORITY,,Côte d'Ivoire,CIV
UNICEF_NT,VAS_PRIORITY,,Democratic People's Republic of Korea,PRK
UNICEF_NT,VAS_PRIORITY,,Democratic Republic of the Congo,COD
UNICEF_NT,VAS_PRIORITY,,Djibouti,DJI
UNICEF_NT,VAS_PRIORITY,,Equatorial Guinea,GNQ
UNICEF_NT,VAS_PRIORITY,,Eritrea,ERI
UNICEF_NT,VAS_PRIORITY,,Eswatini,SWZ
UNICEF_NT,VAS_PRIORITY,,Ethiopia,ETH
UNICEF_NT,VAS_PRIORITY,,Gabon,GAB
UNICEF_NT,VAS_PRIORITY,,Gambia,GMB
UNICEF_NT,VAS_PRIORITY,,Ghana,GHA
UNICEF_NT,VAS_PRIORITY,,Guinea,GIN
UNICEF_NT,VAS_PRIORITY,,Guinea-Bissau,GNB
UNICEF_NT,VAS_PRIORITY,,Haiti,HTI
UNICEF_NT,VAS_PRIORITY,,India,IND
UNICEF_NT,VAS_PRIORITY,,Kenya,KEN
UNICEF_NT,VAS_PRIORITY,,Kiribati,KIR
UNICEF_NT,VAS_PRIORITY,,Lao People's Democratic Republic,LAO
UNICEF_NT,VAS_PRIORITY,,Lesotho,LSO
UNICEF_NT,VAS_PRIORITY,,Liberia,LBR
UNICEF_NT,VAS_PRIORITY,,Madagascar,MDG
UNICEF_NT,VAS_PRIORITY,,Malawi,MWI
UNICEF_NT,VAS_PRIORITY,,Mali,MLI
UNICEF_NT,VAS_PRIORITY,,Mauritania,MRT
UNICEF_NT,VAS_PRIORITY,,Mozambique,MOZ
UNICEF_NT,VAS_PRIORITY,,Myanmar,MMR
UNICEF_NT,VAS_PRIORITY,,Namibia,NAM
UNICEF_NT,VAS_PRIORITY,,Nepal,NPL
UNICEF_NT,VAS_PRIORITY,,Niger,NER
UNICEF_NT,VAS_PRIORITY,,Nigeria,NGA
UNICEF_NT,VAS_PRIORITY,,Pakistan,PAK
UNICEF_NT,VAS_PRIORITY,,Papua New Guinea,PNG
UNICEF_NT,VAS_PRIORITY,,Philippines,PHL
UNICEF_NT,VAS_PRIORITY,,Rwanda,RWA
UNICEF_NT,VAS_PRIORITY,,Sao Tome and Principe,STP
UNICEF_NT,VAS_PRIORITY,,Senegal,SEN
UNICEF_NT,VAS_PRIORITY,,Sierra Leone,SLE
UNICEF_NT,VAS_PRIORITY,,Somalia,SOM
UNICEF_NT,VAS_PRIORITY,,South Africa,ZAF
UNICEF_NT,VAS_PRIORITY,,South Sudan,SSD
UNICEF_NT,VAS_PRIORITY,,Sudan,SDN
UNICEF_NT,VAS_PRIORITY,,Tajikistan,TJK
UNICEF_NT,VAS_PRIORITY,,Timor-Leste,TLS
UNICEF_NT,VAS_PRIORITY,,Togo,TGO
UNICEF_NT,VAS_PRIORITY,,Turkmenistan,TKM
UNICEF_NT,VAS_PRIORITY,,Uganda,UGA
UNICEF_NT,VAS_PRIORITY,,United Republic of Tanzania,TZA
UNICEF_NT,VAS_PRIORITY,,Yemen,YEM
UNICEF_NT,VAS_PRIORITY,,Zambia,ZMB
UNICEF_NT,VAS_PRIORITY,,Zimbabwe,ZWE
